N_POINTS, absolute error
59500,0.00808005
59600,0.00783426
59700,0.00819232
59800,0.00848229
59900,0.00917195
60000,0.00905932
60100,0.00894706
60200,0.00903451
60300,0.00885634
60400,0.00894365
60500,0.00883232
60600,0.00898539
60700,0.00920386
60800,0.00948739
60900,0.00976999
61000,0.00926478
61100,0.00915403
61200,0.00969723
61300,0.00965138
61400,0.00993142
61500,0.00988534
61600,0.01003421
61700,0.01005295
61800,0.01020107
61900,0.01021947
62000,0.00991523
62100,0.00974080
62200,0.00988847
62300,0.00984305
62400,0.00986188
62500,0.00975265
62600,0.00996326
62700,0.00972662
62800,0.00955444
62900,0.00989154
63000,0.00952916
63100,0.00923132
63200,0.00944075
63300,0.00964953
63400,0.00960527
63500,0.01006509
63600,0.01008322
63700,0.00972452
63800,0.00955504
63900,0.00926089
64000,0.00915515
64100,0.00892495
64200,0.00894468
64300,0.00852889
64400,0.00873551
64500,0.00838335
64600,0.00809420
64700,0.00817689
64800,0.00832105
64900,0.00815660
65000,0.00805419
65100,0.00807499
65200,0.00803437
65300,0.00774886
65400,0.00740305
65500,0.00748578
65600,0.00738534
65700,0.00740696
65800,0.00712457
65900,0.00702513
66000,0.00698659
66100,0.00706920
66200,0.00690987
66300,0.00681136
66400,0.00689386
66500,0.00739716
66600,0.00711818
66700,0.00690000
66800,0.00752080
66900,0.00754183
67000,0.00732400
67100,0.00722604
67200,0.00724742
67300,0.00738760
67400,0.00782411
67500,0.00737043
67600,0.00798319
67700,0.00788512
67800,0.00825932
67900,0.00816114
68000,0.00823971
68100,0.00814185
68200,0.00863078
68300,0.00847406
68400,0.00825932
68500,0.00839557
68600,0.00858974
68700,0.00860867
68800,0.00874382
68900,0.00876246
69000,0.00854918
69100,0.00879960
69200,0.00899150
69300,0.00918284
69400,0.00902781
69500,0.00910344
69600,0.00900645
69700,0.00913928
69800,0.00858406
69900,0.00860267
70000,0.00862123
70100,0.00863973
70200,0.00865818
70300,0.00867658
70400,0.00863811
70500,0.00911038
70600,0.00901475
70700,0.00891939
70800,0.00876779
70900,0.00839096
71000,0.00869125
71100,0.00876565
71200,0.00867131
71300,0.00880163
71400,0.00870750
71500,0.00922902
71600,0.00952561
71700,0.00954244
71800,0.00916926
71900,0.00946470
72000,0.00925932
72100,0.00916547
72200,0.00896107
72300,0.00875725
72400,0.00860923
72500,0.00840645
72600,0.00842461
72700,0.00855276
72800,0.00829595
72900,0.00809471
73000,0.00751046
73100,0.00796748
73200,0.00793145
73300,0.00767724
73400,0.00769620
73500,0.00771510
73600,0.00724483
73700,0.00715575
73800,0.00679591
73900,0.00703244
74000,0.00651157
74100,0.00669387
74200,0.00660613
74300,0.00635712
74400,0.00621631
74500,0.00661279
74600,0.00636477
74700,0.00638516
74800,0.00656592
74900,0.00663938
75000,0.00671265
75100,0.00646616
75200,0.00616712
75300,0.00655945
75400,0.00705684
75500,0.00697014
75600,0.00683075
75700,0.00679741
75800,0.00671139
75900,0.00678369
76000,0.00680318
76100,0.00645468
76200,0.00642205
76300,0.00649436
76400,0.00646176
76500,0.00616782
76600,0.00592686
76700,0.00626019
76800,0.00601974
76900,0.00577991
77000,0.00564460
77100,0.00597657
77200,0.00547866
77300,0.00549951
77400,0.00536526
77500,0.00538620
77600,0.00571636
77700,0.00558236
77800,0.00534587
77900,0.00505864
78000,0.00497727
78100,0.00515219
78200,0.00507091
78300,0.00524527
78400,0.00511306
78500,0.00523597
78600,0.00520589
78700,0.00502340
78800,0.00539976
78900,0.00547098
79000,0.00569392
79100,0.00536004
79200,0.00487548
79300,0.00489656
79400,0.00491759
79500,0.00488825
79600,0.00460773
79700,0.00447848
79800,0.00460017
79900,0.00452131
80000,0.00454265
80100,0.00441413
80200,0.00458517
80300,0.00465617
80400,0.00457773
80500,0.00489700
80600,0.00471920
80700,0.00469055
80800,0.00481048
80900,0.00512788
81000,0.00500006
81100,0.00477391
81200,0.00459758
81300,0.00452008
81400,0.00419708
81500,0.00362946
81600,0.00350442
81700,0.00352656
81800,0.00345084
81900,0.00337532
82000,0.00325119
82100,0.00332225
82200,0.00329582
82300,0.00297783
82400,0.00304896
82500,0.00278053
82600,0.00251275
82700,0.00243909
82800,0.00241391
82900,0.00258180
83000,0.00260470
83100,0.00306076
83200,0.00337150
83300,0.00310526
83400,0.00322335
83500,0.00300583
83600,0.00317160
83700,0.00314582
83800,0.00354969
83900,0.00395261
84000,0.00406884
84100,0.00394699
84200,0.00420548
84300,0.00441590
84400,0.00443626
84500,0.00450390
84600,0.00438225
84700,0.00407199
84800,0.00395114
84900,0.00397192
85000,0.00413383
85100,0.00377832
85200,0.00365838
85300,0.00353873
85400,0.00351303
85500,0.00339382
85600,0.00374219
85700,0.00394971
85800,0.00420338
85900,0.00445645
86000,0.00424382
86100,0.00421751
86200,0.00414486
86300,0.00402603
86400,0.00400006
86500,0.00378919
86600,0.00376355
86700,0.00401480
86800,0.00408113
86900,0.00400922
87000,0.00398346
87100,0.00386590
87200,0.00384036
87300,0.00413561
87400,0.00383522
87500,0.00371837
87600,0.00351046
87700,0.00353108
87800,0.00364277
87900,0.00361768
88000,0.00336538
88100,0.00324986
88200,0.00327066
88300,0.00320081
88400,0.00308587
88500,0.00283559
88600,0.00285676
88700,0.00278769
88800,0.00285391
88900,0.00269502
89000,0.00289602
89100,0.00278233
89200,0.00253436
89300,0.00264529
89400,0.00262174
89500,0.00268763
89600,0.00284265
89700,0.00272978
89800,0.00266170
89900,0.00263826
90000,0.00252599
90100,0.00210320
90200,0.00230219
90300,0.00219066
90400,0.00225637
90500,0.00245453
90600,0.00256396
90700,0.00245263
90800,0.00278208
90900,0.00289078
91000,0.00286738
91100,0.00280012
91200,0.00295230
91300,0.00253460
91400,0.00264298
91500,0.00261998
91600,0.00277169
91700,0.00283584
91800,0.00294342
91900,0.00287666
92000,0.00267961
92100,0.00304759
92200,0.00272064
92300,0.00252440
92400,0.00263161
92500,0.00265211
92600,0.00249978
92700,0.00256353
92800,0.00254093
92900,0.00260449
93000,0.00266792
93100,0.00277418
93200,0.00279437
93300,0.00285739
93400,0.00300593
93500,0.00319693
93600,0.00296017
93700,0.00263854
93800,0.00240289
93900,0.00225293
94000,0.00223095
94100,0.00229404
94200,0.00218713
94300,0.00263189
94400,0.00227062
94500,0.00216408
94600,0.00218462
94700,0.00203616
94800,0.00201459
94900,0.00195093
95000,0.00180318
95100,0.00178193
95200,0.00188677
95300,0.00220126
95400,0.00234737
95500,0.00261883
95600,0.00272236
95700,0.00274208
95800,0.00297052
95900,0.00261455
96000,0.00263432
96100,0.00257080
96200,0.00284005
96300,0.00298414
96400,0.00296195
96500,0.00302271
96600,0.00300052
96700,0.00289565
96800,0.00287365
96900,0.00252145
97000,0.00270606
97100,0.00256073
97200,0.00282722
97300,0.00284651
97400,0.00294789
97500,0.00329522
97600,0.00339593
97700,0.00337362
97800,0.00314685
97900,0.00308397
98000,0.00326612
98100,0.00336635
98200,0.00305905
98300,0.00295583
98400,0.00289347
98500,0.00295306
98600,0.00285026
98700,0.00335557
98800,0.00345500
98900,0.00310934
99000,0.00312801
99100,0.00318700
99200,0.00328620
99300,0.00314351
99400,0.00336328
99500,0.00338160
99600,0.00360069
99700,0.00353849
99800,0.00343634
99900,0.00345452
